barra_codigo,barra_nombre,region
ARICA_________013,BA S/E ARICA 13.8KV-BP [NO_MOSTRAR],Arica y Parinacota
ARICA_________066,BA S/E ARICA 66KV BP1,Arica y Parinacota
ARICA_________110,BA S/E ARICA 110KV BP1,Arica y Parinacota
ARMAZONES_____023,BA S/E ARMAZONES 23KV BP1,Desconocida
ARMAZONES_____066,,Desconocida
ARMERILLO_____066,,Desconocida
ARMERILLO_____220,,Desconocida
ARR.PETROQ.___154,,Desconocida
ARRIERO_______033,BA S/E EL ARRIERO 33KV BP,Desconocida
ARRIERO_______220,BA S/E EL ARRIERO 220KV BP,Desconocida
ATACAMA_______023,BA S/E ATACAMA 23KV BP,Atacama
ATACAMA_______220,BA S/E ATACAMA 220KV BP1,Atacama
AURORA________220,BA S/E CENTRAL PARQUE EOLICO AURORA B1,Desconocida
A_DE_CORDOVA__013,BA S/E ALONSO DE CORDOVA 17.5KV BP1,Desconocida
A_DE_CORDOVA__110,BA S/E ALONSO DE CORDOVA 110KV BP1,Desconocida
A_____________100,BA S/E A 100KV BP1,Desconocida
B.BLANCO______023,BA S/E BARRO BLANCO 23KV BP,Desconocida
B.BLANCO______066,BA S/E BARRO BLANCO 66KV BP-1,Desconocida
B.BLANCO______110,,Desconocida
B.BLANCO______220,BA S/E BARRO BLANCO 220KV,Desconocida
BALANDRAS_____013,BA S/E LAS BALANDRAS 12kV BP1,Desconocida
BALANDRAS_____066,BA S/E LAS BALANDRAS 66kV BP1,Desconocida
BARRILES______220,BA S/E TAP OFF BARRILES 220KV BP,Desconocida
BATUCO________013,BA S/E BATUCO 23KV BA1,Desconocida
BATUCO________110,BA S/E BATUCO 110KV BP1,Desconocida
BELLAVISTA____066,,Desconocida
BICENTENARIO__013,BA S/E BICENTENARIO 13.2KV BP1,Desconocida
BICENTENARIO__110,BA S/E BICENTENARIO 110KV BP1,Desconocida
BJOSDMNA______012,BA S/E BAJOS DE MENA 15 kV BP1,Desconocida
BJOSDMNA______110,BA S/E BAJOS DE MENA 110 kV BP1,Desconocida
BOCAMINA_II___220,BA S/E BOCAMINA II JBP [NO_MOSTRAR],Desconocida
BOCAMINA______004,BA S/E BOCAMINA CBP [No_Mostrar],Desconocida
BOCAMINA______066,BA S/E BOCAMINA BBP [No_Mostrar],Desconocida
BOCAMINA______154,BA S/E CENTRAL BOCAMINA I 154KV BP1 [No_Mostrar],Desconocida
BOLERO________220,BA S/E BOLERO 220KV BP,Desconocida
BOLLENAR______013,BA S/E BOLLENAR 13.2KV BP1,Desconocida
BOLLENAR______110,BA S/E BOLLENAR 110KV BP1,Desconocida
BOMBEO2_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°2 4.16KV,Desconocida
BOMBEO2_______220,BA S/E TAP OFF ESTACION DE BOMBEO N°2 220KV [NO_MOSTRAR],Desconocida
BOMBEO3_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°3 4.16KV,Desconocida
BOMBEO3_______220,BA S/E TAP OFF ESTACION DE BOMBEO N°3 220KV [NO_MOSTRAR],Desconocida
BOMBEO4_______004,BA S/E TAP OFF ESTACION DE BOMBEO N°4 4.16KV,Desconocida
BOMBEO4_______220,BA S/E TAP OFF ESTACION DE BOMBEO N°4 220KV [NO_MOSTRAR],Desconocida
BOSQUEMAR_____012,BA S/E BOSQUEMAR 12kV BP1,Desconocida
BOSQUEMAR_____110,BA S/E BOSQUEMAR 110kV BP1,Desconocida
BRASIL________013,BA S/E BRASIL 12.5KV BP1,Desconocida
BRASIL________110,BA S/E BRASIL 110KV BP1,Desconocida
BUCALEMU______066,BA S/E BUCALEMU 66KV [NO_MOSTRAR],Desconocida
BUIN__________013,BA S/E BUIN (ENEL TRANSMISION) 13.2KV,Desconocida
BUIN__________066,BA S/E BUIN (CGE) 66KV T1,Desconocida
BUIN__________110,BA S/E BUIN (ENEL TRANSMISION) 110KV BP1,Desconocida
BUIN__________220,BA S/E BUIN (ENEL TRANSMISION) 220KV BAUX,Desconocida
C.A_RENAICO___023,BA S/E PARQUE EOLICO RENAICO 33KV BP2,Desconocida
C.BIOBIO______066,BA S/E CEMENTOS BIO BIO 66KV,Biobío
C.CALERA1_____062,BA S/E CERRO CALERA 60KV,Desconocida
C.CALERA1_____110,BA S/E CERRO CALERA 110KV BP1,Desconocida
C.CHENA2______220,BA S/E CHENA 220KV BP2 (AIS),Desconocida
C.CHENA_______110,BA S/E CHENA 110KV BP1,Desconocida
C.CHENA_______220,BA S/E CHENA 220KV BT1,Desconocida
C.COMBARBALA__023,BA S/E CENTRAL COMBARBALA BP 23KV,Desconocida
C.COMBARBALA__110,,Desconocida
C.CONSTIT1____023,BA S/E CENTRAL CONSTITUCION 23KV,Desconocida
C.CORRENTOSO__013,"BA S/E CENTRAL CORRENTOSO 13,2KV B1",Desconocida
C.DOMINADOR___220,BA S/E CERRO DOMINADOR 220KV BP,Desconocida
C.DRAGON______013,BA S/E CERRO DRAGON 13.8KV,Desconocida
C.DRAGON______110,BA S/E CERRO DRAGON 110KV,Desconocida
C.HUICHAHUE___220,BA S/E CERROS DE HUICHAHUE 220KV BP1,Desconocida
C.NAVIA_______110,BA S/E CERRO NAVIA 110KV BP1,Metropolitana
C.NAVIA_______220,BA S/E CERRO NAVIA 220KV BP1,Metropolitana
C.PABELLON____220,BA S/E CERRO PABELLON 220KV BP,Desconocida
C.PALMAR______013,"BA S/E CENTRAL PALMAR 13,2KV B1",Desconocida
C.PINTO_______220,BA S/E CARRERA PINTO 220KV BT1,Desconocida
C.RENAICO_____023,BA S/E PARQUE EOLICO RENAICO 33KV BP1,Desconocida
C.SAN_ANDRES__023,BA S/E CENTRAL SAN ANDRES (SAN ANDRES SPA) 23KV BP1,Desconocida
C.SAN_ANDRES__220,BA S/E CENTRAL SAN ANDRES (HSA) 220KV BP1,Desconocida
CABILDO_______023,BA S/E CABILDO 23KV BP1,Desconocida
CABILDO_______110,BA S/E CABILDO 110KV BP1,Desconocida
CABRERO_______013,BA S/E CABRERO 13.2KV,Desconocida
CABRERO_______023,BA S/E CABRERO 23KV,Desconocida
