barra_codigo,barra_nombre,region
CURILLINQUE___154,BA S/E CURILLINQUE 154KV [NO_MOSTRAR],Desconocida
C_LAJA________220,BA S/E CENTRAL LAJA 1 220KV BP1,Desconocida
D.ALMAGRO1____220,,Desconocida
D.ALMAGRO_____023,BA S/E DIEGO DE ALMAGRO 23KV,Desconocida
D.ALMAGRO_____110,BA S/E DIEGO DE ALMAGRO 110KV BP1-1,Desconocida
D.ALMAGRO_____220,BA S/E DIEGO DE ALMAGRO 220KV BP1-1,Desconocida
D.AMIGOS______023,BA S/E DOS AMIGOS 23KV,Desconocida
D.AMIGOS______110,BA S/E DOS AMIGOS 110KV BP1,Desconocida
DALCAHUE______023,BA S/E DALCAHUE 23KV BP1,Desconocida
DALCAHUE______110,BA S/E DALCAHUE 110KV BP1,Desconocida
DAMASCAL______023,BA S/E DAMASCAL 23kV BP1-1,Desconocida
DAMASCAL______110,BA S/E DAMASCAL 110kV BT1,Desconocida
DEGAN_________013,BA S/E DEGAÑ 23KV B1,Desconocida
DEGAN_________110,BA S/E DEGAÑ 110KV [NO_MOSTRAR],Desconocida
DESALANT______110,BA S/E DESALANT 110KV BP,Desconocida
DEUCO_________013,BA S/E DEUCO 13.8KV,Desconocida
DEUCO_________066,BA S/E DEUCO 66KV,Desconocida
DICHAS________066,BA S/E LAS DICHAS 66kV BP1 [EN_REVISION,Desconocida
DICHAS________220,BA S/E LAS DICHAS 220kV BP1 [EN_REVISION],Desconocida
DOLE__________066,,Desconocida
DOMEYKO_______220,BA S/E DOMEYKO 220KV BP1,Desconocida
DONA_CARMEN___220,BA S/E DOÑA CARMEN 220KV,Desconocida
DONHUMBERTO___033,BA S/E DON HUMBERTO 36kV BP1,Desconocida
DONHUMBERTO___110,BA S/E DON HUMBERTO 110kV BP1,Desconocida
DON_GOYO______220,BA S/E DON GOYO 220KV BP2,Desconocida
DON_HECTOR____220,BA S/E DON HECTOR 220KV BP1,Desconocida
DUNAS_________007,"BA S/E LAS DUNAS 6,9kV BP1 [EN_REVISION]",Desconocida
DUNAS_________220,BA S/E LAS DUNAS 220kV BP1 GIS [EN_REVISION],Desconocida
DUQUECO_______023,BA S/E DUQUECO 23kV BP1,Desconocida
DUQUECO_______066,BA S/E DUQUECO 66kV BP1,Desconocida
DUQUECO_______220,BA S/E DUQUECO 220kV BP1,Desconocida
E.PENON_______013,BA S/E EL PEÑON 13.2KV C1,Desconocida
E.PENON_______023,BA S/E EL PEÑON 23KV,Desconocida
E.PENON_______066,BA S/E EL PEÑON 66KV,Desconocida
E.PENON_______110,BA S/E EL PEÑON 110KV BP2,Desconocida
E.SAUCE_______013,BA S/E EL SAUCE 13.2KV,Desconocida
E.SAUCE_______066,BA S/E EL SAUCE 66KV,Desconocida
EJERCITO______013,BA S/E EJERCITO 15KV B1,Desconocida
EJERCITO______066,BA S/E EJERCITO 66KV B1,Desconocida
EKA.CHILE_____154,BA S/E EKA CHILE 154KV BP1,Desconocida
EL.LLANO______220,BA S/E EL LLANO 220KV BP1,Desconocida
ELABRA________220,BA S/E EL ABRA 220KV BP2 (AIS),Desconocida
ELARRAYAN_____220,,Desconocida
ELAVELLANO____023,BA S/E EL AVELLANO 23KV,Desconocida
ELAVELLANO____066,BA S/E EL AVELLANO 66KV [No_Mostrar],Desconocida
ELCOBRE_______220,BA S/E EL COBRE (ENGIE) 220KV BP1,Desconocida
ELLAUREL______023,BA S/E EL LAUREL 23kV B1,Desconocida
ELLAUREL______066,BA S/E EL LAUREL 66kV BP1,Desconocida
ELLAUREL______220,BA S/E EL LAUREL 220KV BP1,Desconocida
ELMAITEN______013,BA S/E EL MAITEN 13.2KV,Desconocida
ELMAITEN______066,BA S/E EL MAITEN 66KV,Desconocida
ELMANZANO_____015,BA S/E EL MANZANO (CGE) 15KV BP1,Desconocida
ELMANZANO_____066,BA S/E EL MANZANO (CGE) 66KV BP1,Desconocida
ELMONTE_______013,BA S/E EL MONTE 13.2KV,Desconocida
ELMONTE_______066,BA S/E EL MONTE 66KV,Desconocida
ELPAICO_______013,BA S/E EL PAICO 13.2KV BP1,Desconocida
ELPAICO_______066,BA S/E EL PAICO 66KV BP1,Desconocida
ELPEUMO_______023,BA S/E EL PEUMO 23KV,Desconocida
ELPEUMO_______066,BA S/E EL PEUMO 66KV B1,Desconocida
ELSALADO______023,BA S/E EL SALADO 23KV,Desconocida
ELSALADO______110,BA S/E EL SALADO 110KV BP1,Desconocida
ELSALVADOR____012,BA S/E EL SALVADOR 12KV,Desconocida
ELSALVADOR____110,BA S/E EL SALVADOR 110KV BP1,Desconocida
ELVCAPRI______110,BA S/E ELEVADORA CAPRICORNIO 110KV B1,Desconocida
EL_LINCE______023,BA S/E EL LINCE 23KV BP,Desconocida
EL_LINCE______110,BA S/E EL LINCE 110KV BP,Desconocida
EL_MANZANO____023,BA S/E EL MANZANO (ENEL TRANSMISION) 23KV BP1,Desconocida
EL_MANZANO____033,BA S/E EL MANZANO (ENEL TRANSMISION) 33 KV BP1,Desconocida
EL_MANZANO____220,BA S/E EL MANZANO (ENEL TRANSMISION) 220KV BP1-1,Desconocida
EL_MELON______013,BA S/E EL MELON 12kV BP1,Desconocida
EL_MELON______044,BA S/E EL MELON 44kV BP1,Desconocida
EL_NEGRO______110,BA S/E TAP OFF EL NEGRO 110KV BP,Desconocida
EL_PASO_______023,,Desconocida
EL_PASO_______154,,Desconocida
EL_PASO_______220,BA S/E CENTRAL EL PASO 220KV BP1,Desconocida
EL_SALTO______110,BA S/E EL SALTO 110KV BP1-1,Desconocida
EL_SALTO______220,BA S/E EL SALTO 220KV BP1,Desconocida
EL_TORO_______220,BA S/E CENTRAL EL TORO 220KV BP1,Desconocida
EMPALME_______013,BA S/E EL EMPALME 23KV BP1,Desconocida
EMPALME_______110,BA S/E EL EMPALME 110KV BP1,Desconocida
ENACAR________013,BA S/E ENACAR 13.2KV [NO_MOSTRAR],Desconocida
ENACAR________066,BA S/E ENACAR 66KV [NO_MOSTRAR],Desconocida
ENAEX_________110,BA S/E CENTRAL DIESEL ENAEX 110KV,Desconocida
ENCUENTRO_____220,BA S/E ENCUENTRO 220KV BP1,Desconocida
ENL.MAITENES__110,BA S/E CENTRAL MAITENES 110KV BP2,Desconocida
ENLACE_SNG____220,NODO TAP OFF ENLACE 220KV LADO LINEA,Desconocida
ENLACE________066,BA S/E ENLACE 66KV,Desconocida
ENTRERIOS_____220,BA S/E ENTRE RIOS 220KV BP1,Desconocida
ENTRERIOS_____500,BA S/E ENTRE RIOS 500KV BP1,Desconocida
EPULEUFU______066,BA S/E EPULEUFU 66kV BP1 [EN_REVISION],Desconocida
EPULEUFU______220,BA S/E EPULEUFU 220kV BP1 [EN_REVISION],Desconocida
ESCONDIDA_____220,BA S/E ESCONDIDA 220KV BP1,Desconocida
ESCUADRON_____015,BA S/E ESCUADRON (CGE) 15KV,Desconocida
ESCUADRON_____066,BA S/E ESCUADRON (CGE) 66KV,Desconocida
ESMERALDA_____110,BA S/E ESMERALDA 110KV BP1,Desconocida
ESMERALDA_____220,BA S/E ESMERALDA 220KV BP1,Desconocida
ESPERANZA_SNG_023,BA S/E PARQUE EOLICO LA ESPERANZA 23KV,Desconocida
ESPERANZA_SNG_220,,Desconocida
ESPERANZA_____013,BA S/E LA ESPERANZA 13.2KV BP1,Desconocida
ESPERANZA_____062,BA S/E ESPERANZA (COLBUN) 66KV,Maule
ESPERANZA_____066,BA S/E LA ESPERANZA (CGE) 66KV [NO_MOSTRAR],Desconocida
ESPERANZA_____110,BA S/E ESPERANZA 110KV BP1,Desconocida
ESPERANZA_____220,BA S/E ESPERANZA (MINERA CENTINELA) 220KV BP,Desconocida
ESPIGA________023,,Desconocida
ESPINO________013,BA S/E EL ESPINO 13.2KV [NO_MOSTRAR],Desconocida
ESPINO________066,,Desconocida
EST1_IBRTACAM_220,,Desconocida
ESTANCILLA____044,BA S/E ESTANCILLA 44kV BP1,Desconocida
ESTEPA________220,,Desconocida
ESTN6_________066,,Desconocida
EST_248_______110,,Desconocida
EST_66________110,,Desconocida
EST_68________110,,Desconocida
EST_L1A2______220,,Desconocida
EST_L1A_______220,,Desconocida
EST_L1B2______220,,Desconocida
EST_L1B_______220,,Desconocida
EST_N4________220,,Desconocida
EUGENIO_______023,BA S/E DON EUGENIO 23kV BP1 [EN_REVISION],Desconocida
FARELLON______220,BA S/E FARELLON 220KV BP1,Desconocida
FATIMA1_______154,BA S/E FATIMA 154KV T1 [NO_MOSTRAR],Desconocida
FATIMA2_______154,BA S/E FATIMA 154KV T2 [NO_MOSTRAR],Desconocida
FATIMA________015,BA S/E FATIMA 15KV BP1,Desconocida
FATIMA________066,BA S/E FATIMA 66KV BT1,Desconocida
FATIMA________154,BA S/E FATIMA 154KV BP1,Desconocida
FFCC__________110,,Desconocida
FIBRANOVA_____066,BA S/E FIBRANOVA 66KV,Desconocida
FLORIDA_______012,BA S/E FLORIDA 12KV,Desconocida
FLORIDA_______110,BA S/E FLORIDA 110KV BP1,Desconocida
FOPACO________006,,Desconocida
FOPACO________015,,Desconocida
FOPACO________154,BA S/E FPC 154KV BP1,Desconocida
FORTUNA_______220,BA S/E FORTUNA 220KV BP,Desconocida
FRONTERA______220,BA S/E FRONTERA 220KV BP1,Desconocida
FRUTILLAR_____013,BA S/E FRUTILLAR 13.2KV,Desconocida
FRUTILLAR_____066,BA S/E FRUTILLAR 66KV BP1,Desconocida
FUENTECILLA___015,BA S/E FUENTECILLA 15 kV BP1,Desconocida
FUENTECILLA___066,BA S/E FUENTECILLA 66 kV BP1,Desconocida
FUTURO________033,BA S/E FUTURO 33KV B1,Desconocida
FUTURO________220,BA S/E FUTURO 220KV BP,Desconocida
FV_ATACAMA____220,BA S/E DESIERTO DE ATACAMA 220kV BP1 [EN_REVISION],Atacama
G.SOLAR_______033,BA S/E GRANJA SOLAR EB1 33KV,Desconocida
G.SOLAR_______220,BA S/E GRANJA SOLAR 220KV BP1,Desconocida
GABRIELA______033,BA S/E GABRIELA 33kV BP1 [EN_REVISION],Desconocida
GABRIELA______220,BA S/E GABRIELA 220kV BP1 [EN_REVISION],Desconocida
GABY__________220,BA S/E GABY 220KV BP,Desconocida
GALLEGUILLOS__110,BA S/E GALLEGUILLOS 110KV BP1,Desconocida
GAMBOA1_______110,BA S/E GAMBOA 110kV BP1,Desconocida
GAMBOA1_______220,BA S/E GAMBOA 220kV BP1,Desconocida
GAMBOA2_______110,BA S/E GAMBOA 110kV BP2,Desconocida
GAMBOA2_______220,BA S/E GAMBOA 220kV BP2,Desconocida
GEOGLIFOS_____220,BA S/E GEOGLIFOS 220KV BP1,Desconocida
GORBEA________013,"BA S/E GORBEA 13,2KV BP1",Desconocida
GORBEA________066,BA S/E GORBEA 66 kV BP1 [EN_REVISION],Desconocida
GRANEROS______015,BA S/E GRANEROS 15KV BP1,Desconocida
GRANEROS______066,BA S/E GRANEROS 66KV BP1,Desconocida
GUACOLDA______220,BA S/E CENTRAL GUACOLDA 220KV BP1-1,Desconocida
GUARDIAMARINA_013,"BA S/E GUARDIAMARINA 13,8KV BP1-1",Desconocida
GUARDIAMARINA_023,BA S/E GUARDIAMARINA 23KV BP1-1,Desconocida
GUARDIAMARINA_110,BA S/E GUARDIAMARINA 110KV BP1,Desconocida
GUAYACAN______013,BA S/E GUAYACAN 13.2KV C1,Desconocida
GUAYACAN______066,BA S/E GUAYACAN 66KV,Desconocida
H.FUENTES_____013,BA S/E HERNAN FUENTES 23KV,Desconocida
H.FUENTES_____110,BA S/E HERNAN FUENTES 110KV BP1,Desconocida
HORCONES______066,BA S/E HORCONES 66KV BP1,Desconocida
HOSPITAL______013,BA S/E HOSPITAL 15KV,Desconocida
HOSPITAL______066,BA S/E HOSPITAL 66KV,Desconocida
HUALANE_______013,BA S/E HUALAÑE 13.2KV,Desconocida
HUALANE_______066,BA S/E HUALAÑE 66KV,Desconocida
HUALPEN_______154,BA S/E HUALPEN 154KV BP1,Desconocida
HUALPEN_______220,BA S/E HUALPEN 220KV [NO_MOSTRAR],Desconocida
HUALQUI_______066,BA S/E HUALQUI 66KV BP1,Desconocida
HUALQUI_______220,BA S/E HUALQUI 220KV BP1,Desconocida
HUALTE________013,BA S/E HUALTE 13.2KV [NO_MOSTRAR],Desconocida
HUALTE________033,BA S/E HUALTE 33KV [NO_MOSTRAR],Desconocida
HUALTE________066,BA S/E HUALTE 66KV,Desconocida
HUASCO________013,BA S/E HUASCO 13.8KV B1 [NO_MOSTRAR],Desconocida
HUASCO________110,BA S/E HUASCO 110KV BP1-1,Desconocida
IBERATACAMA___220,BA S/E IBERATACAMA 220kV BP1,Atacama
IBERTALTAL____500,BA S/E IBERTALTAL 500kV BP1 [EN_REVISION],Desconocida
IEM___________023,BA S/E IEM 20KV GX,Desconocida
ILLAPA________220,BA S/E ILLAPA 220KV BP1,Desconocida
ILLAPEL_______023,BA S/E ILLAPEL 23KV BP1,Coquimbo
ILLAPEL_______066,BA S/E ILLAPEL 66 kV BP2 [NO_MOSTRAR],Coquimbo
ILLAPEL_______110,BA S/E ILLAPEL 110KV BP1,Coquimbo
IMPERIAL______013,BA S/E IMPERIAL 23KV,Desconocida
IMPERIAL______066,BA S/E IMPERIAL 66KV,Desconocida
INACESA_______023,BA S/E INACESA 23KV,Desconocida
INCAHUASI_____023,BA S/E INCAHUASI 23KV BP1,Desconocida
INCAHUASI_____110,BA S/E INCAHUASI 110KV BP1 [NO_MOSTRAR],Desconocida
INCA_DE_ORO___033,BA S/E INCA DE ORO 33 KV BP1,Desconocida
INCA_DE_ORO___220,,Desconocida
INDURA________066,BA S/E GRANEROS INDURA 66kV BP1 [No_Mostrar],Desconocida
IQUIQUE_______013,BA S/E IQUIQUE 13.8KV,Tarapacá
IQUIQUE_______066,BA S/E IQUIQUE 66KV BP,Tarapacá
ISLADMAIPO____013,BA S/E ISLA DE MAIPO 12KV C1,Metropolitana
ISLADMAIPO____066,BA S/E ISLA DE MAIPO 66KV BP1,Metropolitana
ISLA__________013,BA S/E ISLA DE MAIPO 12KV C3,Metropolitana
ISLA__________154,BA S/E ISLA 154KV [NO_MOSTRAR],Desconocida
ITAHUE________013,BA S/E ITAHUE 13.8KV,Desconocida
ITAHUE________066,BA S/E ITAHUE 66KV BP1 [No_Mostrar],Desconocida
ITAHUE________154,BA S/E ITAHUE 154KV BP1,Desconocida
ITAHUE________220,BA S/E ITAHUE 220KV [NO_MOSTRAR],Desconocida
JADRESIC______220,BA S/E JADRESIC 220kV BP1,Desconocida
JADRESIC______500,BA S/E JADRESIC 500kV BP1,Desconocida
JAVIERA_______110,BA S/E CENTRAL JAVIERA 110KV BP1,Desconocida
JORQUERA______023,BA S/E JORQUERA 23KV BP1,Desconocida
JORQUERA______220,BA S/E JORQUERA 220KV BP1,Desconocida
JUNCAL________013,BA S/E JUNCAL PORTILLO 12kV BP1,Desconocida
JUNCAL________044,BA S/E JUNCAL PORTILLO 44kV BP1,Desconocida
KAPATUR_______220,BA S/E KAPATUR 220KV BP1,Desconocida
KELAR_________220,BA S/E KELAR 220KV BP1,Desconocida
KIMAL_________220,BA S/E KIMAL 220KV BP1,Desconocida
KIMAL_________500,BA S/E KIMAL 500KV BA [NO_MOSTRAR],Desconocida
KIM_NVACH_AUX_220,,Desconocida
KM6___________100,BA S/E KM6 100KV BP1,Desconocida
L.ALMENDROS___110,BA S/E LOS ALMENDROS 110KV BP1,Desconocida
L.ALMENDROS___220,BA S/E LOS ALMENDROS 220KV BP1,Desconocida
L.ANGELES_____013,BA S/E LOS ANGELES (CGE) 15KV BP1-S2,Biobío
L.ANGELES_____066,BA S/E LOS ANGELES (CGE) 66KV BP1,Biobío
L.ANGELES_____154,BA S/E LOS ANGELES (CGE) 154KV BP1,Biobío
L.BAYAS_______220,BA S/E LOMAS BAYAS 220KV BP,Desconocida
L.CABRAS______013,BA S/E LAS CABRAS 15KV,Desconocida
L.CABRAS______066,BA S/E LAS CABRAS 66KV,Desconocida
L.CHANGOS_____220,BA S/E LOS CHANGOS 220KV BP1,Desconocida
L.CHANGOS_____500,BA S/E LOS CHANGOS 500KV BP1,Desconocida
L.COLOR1______110,BA S/E LOS COLORADOS 110KV BP1,Desconocida
L.COLORADAS___013,BA S/E LOMA COLORADA 15KV BP1,Desconocida
L.COLORADAS___066,BA S/E LOMA COLORADA 66KV,Desconocida
L.CONFLUENCIA_154,BA S/E CENTRAL LA CONFLUENCIA 220KV B1 [NO_MOSTRAR],Desconocida
L.CONFLUENCIA_220,BA S/E CENTRAL LA CONFLUENCIA 220KV BP1,Desconocida
L.ERMITA______220,BA S/E LA ERMITA 220KV,Desconocida
L.HIGUERA_____154,,Desconocida
L.HIGUERA_____220,BA S/E CENTRAL LA HIGUERA 220KV BP1,Desconocida
L.INDURA______066,BA S/E LIRQUEN INDURA 66kV BP1 [No_Mostrar],Desconocida
L.LAGOS2______013,"BA S/E LOS LAGOS 13,2kV BP2",Los Lagos
L.LAGOS_______013,BA S/E LOS LAGOS 13.2KV,Los Lagos
L.LAGOS_______066,BA S/E LOS LAGOS 66KV,Los Lagos
L.LAJA_COYA___023,BA S/E LA LAJA ENERGIA COYANCO BARRA 23KV,Desconocida
L.LAJA_COYA___110,BA S/E LA LAJA ENERGIA COYANCO 110KV BP1,Desconocida
L.LAJA________110,BA S/E TAP OFF LA LAJA 110KV BP1,Desconocida
L.LAJUELAS____033,,Desconocida
L.LIRIOS______066,BA S/E LOS LIRIOS (FFCC) 66KV,Desconocida
L.LOROS_______013,BA S/E LOS LOROS 23KV BP1,Desconocida
L.LOROS_______110,BA S/E LOS LOROS 110KV BP1,Desconocida
L.LUCES_______110,BA S/E LAS LUCES 110KV [NO_MOSTRAR],Desconocida
L.MAQUIS______110,BA S/E LOS MAQUIS 110KV SECCION 1,Desconocida
L.MAQUIS______220,BA S/E LOS MAQUIS 220KV BP1-1 (AIS),Desconocida
L.NEGROS2_____013,BA S/E LOS NEGROS 23KV,Desconocida
L.NEGROS2_____066,BA S/E CERRO NEGRO 12KV B2,Desconocida
L.NEGROS______013,,Desconocida
L.NEGROS______066,BA S/E LOS NEGROS 66KV B1,Desconocida
L.PALMAS______220,BA S/E LAS PALMAS 220KV BP1,Desconocida
L.QUILOS______066,BA S/E CENTRAL LOS QUILOS 66KV,Desconocida
L.QUILOS______110,BA S/E CENTRAL LOS QUILOS 110KV,Desconocida
L.UNION_______013,BA S/E LA UNION 13.8KV,Desconocida
L.UNION_______066,BA S/E LA UNION 66KV BP1,Desconocida
L.VEGAS2______110,BA S/E LAS VEGAS (CHILQUINTA) 110KV BP2,Desconocida
L.VEGAS_______013,BA S/E LAS VEGAS (CHILQUINTA) 12kV BP1,Desconocida
L.VEGAS_______044,BA S/E LAS VEGAS (CHILQUINTA) 44kV BP1,Desconocida
L.VEGAS_______110,BA S/E LAS VEGAS (CHILQUINTA) 110KV BP1,Desconocida
L.VERDE_______066,BA S/E CENTRAL LAGUNA VERDE 66kV BP1,Desconocida
L.VERDE_______110,BA S/E CENTRAL LAGUNA VERDE 110kV BP1,Desconocida
L.VILOS_______110,,Desconocida
L.VILOS_______220,BA S/E LOS VILOS 220KV BP1,Desconocida
L.VIZCACHAS___110,,Desconocida
LABERINTO_____220,BA S/E LABERINTO 220KV BP1,Desconocida
LACRUZ________220,BA S/E TAP OFF LA CRUZ 220KV BP,Desconocida
LAGUNAS_______023,BA S/E LAGUNAS 23KV BP1,Desconocida
LAGUNAS_______220,BA S/E LAGUNAS 220KV BP1,Desconocida
LAGUNILLAS____154,BA S/E LAGUNILLAS 154KV BP1,Desconocida
LAGUNILLAS____220,BA S/E LAGUNILLAS 220KV BP1,Desconocida
LAHUAYCA2_____066,BA S/E LA HUAYCA II 66KV,Desconocida
LAJA__________013,BA S/E LAJA 13.8KV,Desconocida
LAJA__________066,BA S/E LAJA 66KV BP1-1,Desconocida
LAJA__________220,BA S/E CELULOSA LAJA 220KV BP1,Desconocida
LALACKAMA_____033,BA S/E LALACKAMA 33KV B1,Desconocida
LALACKAMA_____220,BA TAP OFF LALACKAMA 220KV BP1,Desconocida
LAMANGA_______013,BA S/E LA MANGA 66KV,Desconocida
LAMANGA_______066,BA S/E LA MANGA 13.2KV,Desconocida
LAMISION______023,BA S/E LA MISION B1 23KV,Desconocida
LAMISION______066,BA S/E LA MISION B1 66KV,Desconocida
LAMPA_________023,BA S/E LAMPA 23KV BP2,Desconocida
LAMPA_________220,BA S/E LAMPA 220KV BP1,Desconocida
LANGELES______012,,Desconocida
LANGELES______044,BA S/E LOS ANGELES 44KV,Biobío
LAPALMA_______013,BA S/E LA PALMA 15KV BP1,Desconocida
LAPALMA_______066,BA S/E LA PALMA 66KV BP1,Desconocida
LAPORTADA_____023,BA S/E LA PORTADA 23KV BP1,Desconocida
LAPORTADA_____110,BA S/E LA PORTADA 110KV BP,Desconocida
LARONDA_______013,BA S/E LA RONDA 15KV,Desconocida
LARONDA_______066,BA S/E LA RONDA 66KV,Desconocida
LARQUI________023,BA S/E LARQUI 23KV BP1,Desconocida
LARQUI________066,BA S/E LARQUI 66KV BP1,Desconocida
LASANA________033,BA S/E LASANA 33KV BP,Desconocida
LASANA________220,BA S/E LASANA 220KV BT,Desconocida
LASARANAS_____013,BA S/E LAS ARAÑAS 13.2KV,Desconocida
LASARANAS_____066,BA S/E LAS ARAÑAS 66KV BP1,Desconocida
LASARANAS_____110,BA S/E LAS ARAÑAS 110KV BP1,Desconocida
LASENCINAS____015,BA S/E LAS ENCINAS 15KV B2,Desconocida
LASENCINAS____066,BA S/E LAS ENCINAS 66KV,Desconocida
LASJUNTAS_____023,BA S/E LAS JUNTAS 23KV,Desconocida
LASJUNTAS_____220,BA S/E LAS JUNTAS 220KV,Desconocida
LASRUMPAS_____110,,Desconocida
LASTARRIA_____066,BA S/E LASTARRIA 66 KV BP1,Desconocida
LASTARRIA_____220,BA S/E LASTARRIA 220 KV BP1,Desconocida
LASTORTOLAS___220,BA S/E LAS TORTOLAS 220KV BP1-1,Desconocida
LAS_ACACIAS___013,,Desconocida
LAS_ACACIAS___110,BA S/E LAS ACACIAS 110KV BP1,Desconocida
LAS_PIEDRAS___023,BA S/E CENTRAL LAS PIEDRAS 23KV BP1,Desconocida
LAS_PIEDRAS___110,,Desconocida
LAS_VIOLETAS__023,BA S/E LAS VIOLETAS 23KV BP1,Desconocida
LAS_VIOLETAS__066,BA S/E LAS VIOLETAS 66KV BP1,Desconocida
LATORRE_______013,BA S/E LATORRE 15KV C1,Desconocida
LATORRE_______066,BA S/E LATORRE 66KV B1,Desconocida
LAUTARO_______013,BA S/E LAUTARO 13.2KV BP1,Desconocida
LAUTARO_______023,BA S/E LAUTARO 23KV,Desconocida
LAUTARO_______066,BA S/E LAUTARO 66KV B1,Desconocida
LAVEGA________013,,Desconocida
LAVEGA________066,BA S/E LA VEGA 66KV,Desconocida
LA_CABANA_____033,BA S/E LA CABAÑA 33kV BP1,Desconocida
LA_CABANA_____220,,Desconocida
LA_CALERA_____013,BA S/E LA CALERA 12KV BP2,Desconocida
LA_CALERA_____044,BA S/E LA CALERA 44kV BP1,Desconocida
LA_CALERA_____110,BA S/E LA CALERA 110KV BP1,Desconocida
LA_CEBADA_____220,BA S/E CENTRAL LA CEBADA 220KV BP1,Desconocida
LA_CISTERNA___013,BA S/E LA CISTERNA 12KV BA1,Desconocida
LA_CISTERNA___110,BA S/E LA CISTERNA 110KV BP1,Desconocida
LA_DEHESA_____013,BA S/E LA DEHESA 12KV BA1,Desconocida
LA_DEHESA_____023,BA S/E LA DEHESA 23KV BA3,Desconocida
LA_DEHESA_____110,BA S/E LA DEHESA 110KV BP2,Desconocida
LA_ESTRELLA___110,BA S/E LA ESTRELLA 110KV BP1,Desconocida
LA_MINA_______066,BA S/E MINA 66KV B1,Desconocida
LA_PINTANA2___013,BA S/E LA PINTANA 12KV BP2,Desconocida
LA_PINTANA____013,BA S/E LA PINTANA 12KV BP1,Desconocida
LA_PINTANA____110,BA S/E LA PINTANA 110KV BP1,Desconocida
LA_POLVORA____110,BA S/E LA POLVORA 110KV BP1,Desconocida
LA_POLVORA____220,BA S/E LA POLVORA 220KV BP1,Desconocida
LA_REINA______013,BA S/E LA REINA 12KV BP1,Desconocida
LA_REINA______110,BA S/E LA REINA 110KV BP1,Desconocida
LA_RUCA_______110,BA S/E LA RUCA 110 KV BP1,Desconocida
LEBU2_________013,,Desconocida
LEBU__________013,BA S/E LEBU 13.2KV,Desconocida
LEBU__________066,BA S/E LEBU 66KV,Desconocida
LEYDA_________013,BA S/E LEYDA 13.2KV,Desconocida
LEYDA_________110,BA S/E LEYDA 110KV BP1,Desconocida
LICANCO_______013,,Desconocida
LICANCO_______066,BA S/E LICANCO 66KV,Desconocida
LICANTEN______013,BA S/E LICANTEN 13.2KV,Desconocida
LICANTEN______066,BA S/E LICANTEN 66KV,Desconocida
LICAN_________013,BA S/E CENTRAL LICAN 13.2KV,Desconocida
LIHUEIMO______013,BA S/E LIHUEIMO 13.2KV BP2 [EN_REVISION],Desconocida
LIHUEIMO______066,BA S/E LIHUEIMO 66KV BP1,Desconocida
LIN.NORTE_____013,BA S/E LINARES NORTE 13.2kV BP1,Maule
LIN.NORTE_____066,BA S/E LINARES NORTE 66kV BP1,Maule
LINARES_______013,BA S/E LINARES 13.8KV [NO_MOSTRAR],Maule
LINARES_______066,BA S/E LINARES 66KV BP1,Maule
LINARES_______154,BA S/E LINARES 154KV BP1,Maule
LIQCAU1_______220,BA S/E LIQCAU 220kV BP1,Desconocida
LIQCAU2_______220,BA S/E LIQCAU 220kV BP2,Desconocida
LIQCAU________110,BA S/E LIQCAU A 110kV BP1,Desconocida
LIRCAY________066,BA S/E CENTRAL LIRCAY 66KV,Desconocida
LIRQUEN_______015,BA S/E LIRQUEN 15KV BP1,Desconocida
LIRQUEN_______066,BA S/E LIRQUEN 66KV,Desconocida
LITORAL_CTL___066,BA S/E LITORAL CENTRAL 66KV BP1,Desconocida
LLAIMA________023,BA S/E LLAIMA 23KV BP1,Desconocida
LLAIMA________066,BA S/E LLAIMA 66KV BP1,Desconocida
LLANBLANCOS___023,BA S/E C.R. LLANOS BLANCOS 23KV B1,Desconocida
LLANBLANCOS___220,BA S/E C.R. LLANOS BLANCOS 220KV BP,Desconocida
LLANOLLAMPOS__220,BA S/E SECCIONADORA LLANO DE LLAMPOS 220KV BP1,Desconocida
LLANOS________066,,Desconocida
LLANOS________220,,Desconocida
LLANQUIHUE____066,BA S/E LLANQUIHUE 66KV BP1,Desconocida
LLANQUIHUE____220,,Desconocida
LLANTA________110,,Desconocida
LLAYLLAY______110,,Desconocida
LLOLLELHUE____066,BA S/E LLOLLELHUE BP1 66KV,Desconocida
LOA___________023,BA S/E EL LOA 23KV,Desconocida
LOA___________220,BA S/E EL LOA 220KV [NO_MOSTRAR],Desconocida
LOMACOLORADOS_023,,Desconocida
LOMACOLORADOS_110,BA S/E CENTRAL LOMA LOS COLORADOS 110KV BP1,Desconocida
LOMA_ALTA_____013,,Desconocida
LOMA_ALTA_____220,BA S/E LOMA ALTA 220KV BP1,Desconocida
LOMIRANDA_____013,BA S/E LO MIRANDA 15KV BP1,Desconocida
LOMIRANDA_____066,BA S/E LO MIRANDA 66KV BP1,Desconocida
LONCOCHE2_____013,,Desconocida
LONCOCHE______013,BA S/E LONCOCHE 13.2KV,Desconocida
LONCOCHE______066,BA S/E LONCOCHE 66KV,Desconocida
LONGAVI_______013,BA S/E LONGAVI 13.2kV BP1,Desconocida
LONGAVI_______066,BA S/E LONGAVI 66kV BP1,Desconocida
LORD_COCHRANE_012,BA S/E LORD COCHRANE 12KV BP1,Desconocida
LORETO________015,BA S/E LORETO 15KV BP1,Desconocida
LORETO________066,BA S/E LORETO 66KV BP1,Desconocida
