osm_id,osm_type,nombre,amenity,healthcare,lat,lon
2556181881,node,Banco Central de Sangre,hospital,hospital,-33.2968433,-66.3182243
2610193842,node,Sala La Florida,hospital,hospital,-33.2674049,-68.4572554
2634732622,node,Centro de Salud 62 Oscar A. de Lellis,hospital,hospital,-33.1453891,-68.4850417
2677240771,node,Hospital Buenaventura Luna,hospital,hospital,-30.1566636,-68.4850661
2680414049,node,Clínica Puerto Montt,hospital,hospital,-41.4587313,-72.9539987
2699438591,node,CIC Padre Mujica,hospital,hospital,-51.5298312,-72.3428438
2783294030,node,CIC Cerro Calafate,hospital,hospital,-50.3502466,-72.2586536
2841897705,node,Sala de Primero Auxilios,hospital,hospital,-45.9412658,-67.5579506
2867814452,node,Hospital Rural de Lago Puelo,hospital,hospital,-42.058797,-71.5975533
2871579524,node,Hospital Laprida,hospital,hospital,-45.8284527,-67.5433168
2929214914,node,Centro de Salud El Altillo,hospital,hospital,-33.0625092,-68.5868742
2929214915,node,Centro de Salud Junín,hospital,hospital,-33.127105,-68.5970858
2929214917,node,Centro de Salud,hospital,,-33.1340592,-68.3892656
2929214918,node,Sin nombre,hospital,hospital,-33.2165324,-68.3819502
2956797616,node,Sin nombre,hospital,hospital,-33.0506776,-68.5652178
3021419712,node,Centro Salud,hospital,hospital,-32.93038,-68.8676828
3021419713,node,Centro Salud,hospital,hospital,-32.9328947,-68.8740438
3021419714,node,Sin nombre,hospital,hospital,-32.938546,-68.8325922
3021419715,node,Sin nombre,hospital,hospital,-32.9578925,-68.840145
3050857760,node,Hospital La Merced de Chimbarongo,hospital,,-34.7014919,-71.0374989
3067751226,node,Clinica del Valle,hospital,hospital,-45.8640138,-67.4945067
3107705765,node,Hospital Rural Rio Mayo,hospital,hospital,-45.6874252,-70.2598936
3140177215,node,Hospital Dr. Alejandro Albarracin,hospital,hospital,-30.6292719,-67.4654711
3203988094,node,Hospital Rural Gastre,hospital,hospital,-42.2650191,-69.22034
3268805316,node,CESFAM Bahía Mansa,clinic,hospital,-40.5866348,-73.7332702
3269109393,node,Hospital Arturo H. Illia - La Paz,hospital,hospital,-33.4584856,-67.5493139
3269527479,node,Hospital Dr. Alfredo Métraux,hospital,hospital,-33.0022721,-68.6443778
3297806869,node,Sala de primeros auxilios,hospital,hospital,-38.9511084,-71.330192
3343199756,node,Centro de Salud,hospital,hospital,-34.580864,-68.5395081
3392791392,node,Puesto Sanitario,hospital,,-42.273381,-67.4040571
3460103148,node,CIC San Julián,hospital,hospital,-49.3098187,-67.7418384
3463611176,node,"Hospital Susques ""Ntra. Sra. de Belén""",hospital,hospital,-23.4003484,-66.3675375
3466724284,node,CIC 28 de Noviembre,hospital,hospital,-51.5930486,-72.2192434
3482154268,node,Hospital Dr. Florencio Vargas Díaz,hospital,hospital,-26.3923345,-70.0522938
3524703604,node,Sanatorio San Juan,hospital,hospital,-31.5426555,-68.5190451
3529531043,node,Clinica El Castaño,hospital,hospital,-31.5333258,-68.5126732
3578627540,node,La Diana,hospital,,-50.2423322,-72.9429781
3591080667,node,Posta Sanitaria,hospital,,-39.7307596,-71.0775202
3592589287,node,UNION VECINAL BELLAVISTA SUR,hospital,hospital,-45.8889799,-67.5833795
3613962729,node,Sin nombre,hospital,hospital,-38.8277203,-68.1005796
3653107842,node,Enfermería,hospital,,-41.7901463,-71.5660472
3708256411,node,Microhospital de Puente de Hierro,hospital,hospital,-32.8632053,-68.6647347
3715206455,node,Posta de Salud de Santa Irene,doctors,hospital,-34.4759729,-71.3102895
3728238827,node,Centro sanitario,hospital,hospital,-47.6508416,-66.0359025
3733860856,node,Hospital Seccional Nonogasta,hospital,hospital,-29.3012961,-67.5049656
3735291240,node,Hospital Barreal,hospital,hospital,-31.6441214,-69.4715737
3740432611,node,Hogar de Ancianos,hospital,hospital,-37.8725875,-67.7891992
3751068658,node,Dispensario Madre Teresa de Calcuta CENIN N°7,hospital,hospital,-51.6370507,-69.1954116
3817865745,node,Salita Bª Bella Vista,hospital,hospital,-42.8999086,-71.3177783
3833602607,node,Centro de Salud - La Lave Nueva,hospital,hospital,-34.6392749,-68.0087985
3846219561,node,Hospital de Niños,hospital,,-18.4139923,-66.5622427
3851769974,node,Clínica Alemana,hospital,hospital,-40.292651,-73.0815823
3989290559,node,Minicentro de Salud Familiar,hospital,,-34.4030816,-71.3667566
4072351450,node,Hospital Distrital Segundo B. Romero - Milagro,hospital,hospital,-31.0070667,-66.0011678
4087070045,node,Asociación Chilena de Seguridad,hospital,hospital,-34.4054692,-70.8581275
4093396727,node,Hospital Rural Isaac Mehaudy - Gobernador Costa,hospital,hospital,-44.0514899,-70.5999183
4094742667,node,Centro de Salud de La Reforma,hospital,hospital,-37.5507214,-66.2275785
4095724158,node,Centro de Salud San Jose,hospital,hospital,-33.299568,-69.1506242
4096270650,node,Centro de Salud de Puelén,hospital,hospital,-37.3428932,-67.6180251
4098699149,node,Posta sanitaria y salón comunitario,hospital,hospital,-40.7558996,-71.1663355
4103920616,node,Centro de Salud Nº061,hospital,hospital,-33.6348201,-69.0627345
4103920617,node,Centro de Salud 061,hospital,hospital,-33.6444668,-69.0683564
4106715154,node,Sala de primeros auxilios,hospital,hospital,-32.9860597,-68.8814354
4110236477,node,"Sala de Primeros Auxilios ""Las Dorcas""",hospital,hospital,-35.0007953,-67.6906281
