IdAccident,Diames,Diasemana,Mes,Año,Hora_aprox,Comuna,CUT_REG,CUT_COM,REGION_DPA,COMUNA_DPA,Lat,Lon,gravedad,es_fin_de_semana,franja_horaria,distancia_hospital_km
1652253,22,5,11,2024,18,VALDIVIA,14,14101,LOS RÍOS,VALDIVIA,-39.859146,-73.340415,Leve,0,Noche,8.053
1652264,23,6,11,2024,17,PADRE LAS CASAS,9,9112,LA ARAUCANÍA,PADRE LAS CASAS,-38.782627,-72.803359,Grave,1,Tarde,9.631
1652266,19,2,11,2024,5,YUNGAY,16,16109,ÑUBLE,YUNGAY,-37.123228,-72.228388,Sin lesionados,0,Madrugada,17.793
1652270,22,5,11,2024,20,LOS VILOS,4,4203,COQUIMBO,LOS VILOS,-31.861245,-71.505911,Sin lesionados,0,Noche,6.078
1652278,24,7,11,2024,9,TEMUCO,9,9101,LA ARAUCANÍA,TEMUCO,-38.680998,-72.661159,Grave,1,Mañana,6.857
1652294,15,4,8,2024,7,MOSTAZAL,6,6110,LIBERTADOR GENERAL BERNARDO O'HIGGINS,MOSTAZAL,-33.970809,-70.707119,Sin lesionados,0,Mañana,6.058
1652295,16,5,8,2024,17,OLIVAR,6,6111,LIBERTADOR GENERAL BERNARDO O'HIGGINS,OLIVAR,-34.199442,-70.759317,Sin lesionados,0,Tarde,2.274
1652304,21,4,11,2024,9,VILLARRICA,9,9120,LA ARAUCANÍA,VILLARRICA,-39.296094,-72.15452,Sin lesionados,0,Mañana,4.93
1652312,20,3,11,2024,13,IQUIQUE,1,1101,TARAPACÁ,IQUIQUE,-20.495297,-70.161782,Sin lesionados,0,Tarde,23.242
1652317,20,3,11,2024,7,LAUTARO,9,9108,LA ARAUCANÍA,LAUTARO,-38.510735,-72.50911,Sin lesionados,0,Mañana,6.256
1652325,21,4,11,2024,17,LAUTARO,9,9108,LA ARAUCANÍA,LAUTARO,-38.610419,-72.448798,Leve,0,Tarde,8.571
1652327,5,2,11,2024,21,SAN FABIAN,16,16304,ÑUBLE,SAN FABIÁN,-36.554466,-71.556356,Sin lesionados,0,Noche,38.635
