fecha,barra_codigo,barra_nombre,version,costo_marginal_usd_mwh
2026-04-01 00:00:00,ANCOA_________013,BA S/E ANCOA 13.8KV,REAL-DEF,58.4162325
2026-04-01 00:00:00,ANCOA_________220,BA S/E ANCOA 220KV BP1,REAL-DEF,57.2211875
2026-04-01 00:00:00,ANCOA_________500,BA S/E ANCOA 500KV BP1,REAL-DEF,57.233869999999996
2026-04-01 00:00:00,ANCUD_________013,BA S/E ANCUD 23KV,REAL-DEF,60.9810625
2026-04-01 00:00:00,ANCUD_________110,BA S/E ANCUD 110KV BP1,REAL-DEF,60.7640425
2026-04-01 00:00:00,ANDACOLLO_____013,BA S/E ANDACOLLO 13.8KV BP1,REAL-DEF,60.395948
2026-04-01 00:00:00,ANDACOLLO_____066,BA S/E ANDACOLLO 66KV BP1,REAL-DEF,60.289125
2026-04-01 00:00:00,ANDALIEN______013,BA S/E ANDALIEN 15KV C1,REAL-DEF,58.706537499999996
2026-04-01 00:00:00,ANDALIEN______066,BA S/E ANDALIEN 66KV SECCION 1,REAL-DEF,58.407777499999995
2026-04-01 00:00:00,ANDES_SNG_____023,BA S/E ANDES 23KV ( BESS ),REAL-DEF,60.126494
2026-04-01 00:00:00,ANDES_SNG_____220,BA S/E ANDES (AES ANDES) 220KV BP1,REAL-DEF,60.126494
2026-04-01 00:00:00,ANDES_SNG_____345,BA S/E ANDES (AES ANDES) 345KV BP1,REAL-DEF,60.27362
2026-04-01 00:00:00,ANDES_________013,BA S/E ANDES 12KV BP4,REAL-DEF,58.837595
2026-04-01 00:00:00,ANDES_________110,BA S/E ANDES 110KV BP1,REAL-DEF,58.8080025
2026-04-01 00:00:00,ANGAMOS_______220,BA S/E ANGAMOS 220KV BP1,REAL-DEF,59.7761575
2026-04-01 00:00:00,ANGOL_________013,BA S/E ANGOL 13.2KV,REAL-DEF,54.0560125
2026-04-01 00:00:00,ANGOL_________023,BA S/E ANGOL 23KV B1,REAL-DEF,53.493722500000004
2026-04-01 00:00:00,ANGOL_________066,BA S/E ANGOL 66 kV BP1,REAL-DEF,54.0376925
2026-04-01 00:00:00,ANGOSTURA_____013,,REAL-DEF,55.153819999999996
2026-04-01 00:00:00,ANGOSTURA_____220,BA S/E GIS ANGOSTURA 220KV,REAL-DEF,55.118590000000005
2026-04-01 00:00:00,ANTILLANCA____066,,REAL-DEF,59.38016
2026-04-01 00:00:00,ANTILLANCA____110,BA S/E ANTILLANCA 110KV BP1,REAL-DEF,56.39255
2026-04-01 00:00:00,ANTILLANCA____220,BA S/E ANTILLANCA 220KV BP1,REAL-DEF,56.6687625
2026-04-01 00:00:00,ANTOFAGASTA___013,BA S/E ANTOFAGASTA 13.8KV BP1,REAL-DEF,62.30952
2026-04-01 00:00:00,ANTOFAGASTA___110,BA S/E ANTOFAGASTA 110KV BP1,REAL-DEF,62.073235
2026-04-01 00:00:00,ANTUCOYA______023,BA S/E ANTUCOYA 23KV BP,REAL-DEF,59.20541
2026-04-01 00:00:00,ANTUCOYA______220,BA S/E ANTUCOYA 220KV BP,REAL-DEF,61.2502325
2026-04-01 00:00:00,ANTUCO________013,BA S/E ANTUCO 13.8KV B1 SECCION 1,REAL-DEF,55.35346333333333
2026-04-01 00:00:00,ANTUCO________220,BA S/E ANTUCO (TRANSELEC) 220KV BP1-1,REAL-DEF,55.601490000000005
2026-04-01 00:00:00,APOQUINDO_____013,BA S/E APOQUINDO 12.5KV BP1,REAL-DEF,58.733779999999996
2026-04-01 00:00:00,APOQUINDO_____110,BA S/E APOQUINDO 110KV BP1,REAL-DEF,58.6924425
2026-04-01 00:00:00,ARENA_________033,,REAL-DEF,77.6059875
2026-04-01 00:00:00,ARENA_________220,,REAL-DEF,59.69583
2026-04-01 00:00:00,ARICA_________013,BA S/E ARICA 13.8KV-BP [NO_MOSTRAR],REAL-DEF,59.012344999999996
2026-04-01 00:00:00,ARICA_________066,BA S/E ARICA 66KV BP1,REAL-DEF,59.500413333333334
2026-04-01 00:00:00,ARICA_________110,BA S/E ARICA 110KV BP1,REAL-DEF,59.49665666666667
2026-04-01 00:00:00,ARMAZONES_____023,BA S/E ARMAZONES 23KV BP1,REAL-DEF,59.722885999999995
2026-04-01 00:00:00,ARMAZONES_____066,,REAL-DEF,59.46283666666667
2026-04-01 00:00:00,ARMERILLO_____066,,REAL-DEF,56.9435625
2026-04-01 00:00:00,ARMERILLO_____220,,REAL-DEF,56.8829675
2026-04-01 00:00:00,ARR.PETROQ.___154,,REAL-DEF,57.977955
2026-04-01 00:00:00,ARRIERO_______033,BA S/E EL ARRIERO 33KV BP,REAL-DEF,59.01375
2026-04-01 00:00:00,ARRIERO_______220,BA S/E EL ARRIERO 220KV BP,REAL-DEF,61.6617325
2026-04-01 00:00:00,ATACAMA_______023,BA S/E ATACAMA 23KV BP,REAL-DEF,60.907785000000004
2026-04-01 00:00:00,ATACAMA_______220,BA S/E ATACAMA 220KV BP1,REAL-DEF,60.892285
2026-04-01 00:00:00,AURORA________220,BA S/E CENTRAL PARQUE EOLICO AURORA B1,REAL-DEF,57.62705
2026-04-01 00:00:00,A_DE_CORDOVA__013,BA S/E ALONSO DE CORDOVA 17.5KV BP1,REAL-DEF,58.7009025
2026-04-01 00:00:00,A_DE_CORDOVA__110,BA S/E ALONSO DE CORDOVA 110KV BP1,REAL-DEF,58.68399
2026-04-01 00:00:00,A_____________100,BA S/E A 100KV BP1,REAL-DEF,61.994597999999996
2026-04-01 00:00:00,B.BLANCO______023,BA S/E BARRO BLANCO 23KV BP,REAL-DEF,57.2803775
2026-04-01 00:00:00,B.BLANCO______066,BA S/E BARRO BLANCO 66KV BP-1,REAL-DEF,57.27333
2026-04-01 00:00:00,B.BLANCO______110,,REAL-DEF,61.0769
2026-04-01 00:00:00,B.BLANCO______220,BA S/E BARRO BLANCO 220KV,REAL-DEF,61.0769
2026-04-01 00:00:00,BALANDRAS_____013,BA S/E LAS BALANDRAS 12kV BP1,REAL-DEF,58.489515
2026-04-01 00:00:00,BALANDRAS_____066,BA S/E LAS BALANDRAS 66kV BP1,REAL-DEF,58.4627375
2026-04-01 00:00:00,BARRILES______220,BA S/E TAP OFF BARRILES 220KV BP,REAL-DEF,60.8401425
2026-04-01 00:00:00,BATUCO________013,BA S/E BATUCO 23KV BA1,REAL-DEF,59.011497999999996
2026-04-01 00:00:00,BATUCO________110,BA S/E BATUCO 110KV BP1,REAL-DEF,58.932015
